ObjectID,Title,ConstituentID,Date,Medium,Dimensions,Classification,Department,DateAcquired,URL,ImageURL,OnView
.3: 6 x 16 x 11 1/8" (15.2 x 40.6 x 28.3 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/3144,https://www.moma.org/media/W1siZiIsIjIxMDk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4ba4c3061e6fb3e3,"MoMA, Floor 5, 511"
3153,"Wear-Ever Hotel Sauté Pans",10027,"Before 1934",Aluminum,".1: 2 x 6 1/4" (5.1 x 15.9 cm)
.2: 2 1/4 x 7 1/4" (5.7 x 18.4 cm)
.3: 2 1/2 x 8 1/4" (6.4 x 21 cm)
.4: 2 3/4 x 10 1/4" (7 x 26 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/3153,https://www.moma.org/media/W1siZiIsIjIyOTEyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d2860231caa6f1ca,"MoMA, Floor 5, 511"
3169,Carafe,5168,1956,Glass,"7 5/8 x 3 5/8" (19.4 x 9.2 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/3169,https://www.moma.org/media/W1siZiIsIjIxMDk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3c7a47bb67011775,"MoMA, Floor 1, 1 South"
3188,"Coil of Strip Stainless Steel",9953,"Before 1934","Stainless steel","coil diam. 2 3/8" (6 cm) of flattened stainless steel 1/8" (.3 cm) wide; h. variable",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/3188,NULL,"MoMA, Floor 5, 511"
3212,"May Day Lamp",8149,1998,"Plastic and polycarbonate","21 x 8 1/2" (53.3 x 21.6 cm)",Design,"Architecture & Design",1999-06-30,https://www.moma.org/collection/works/3212,https://www.moma.org/media/W1siZiIsIjIxMTAwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=41fe5e62d420e0e9,"MoMA, Floor 1, 1 South"
3250,Scissors,271,"Designed 1960-1967, this example 1976","Plastic and stainless steel","8 1/2 × 2 3/4 × 1" (21.6 × 7 × 2.5 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3250,https://www.moma.org/media/W1siZiIsIjIxMTAyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=00d9bc3b587dcca1,"MoMA, Floor 1, 1 South"
3262,"Bud Vase",9682,"c. 1910","Blown painted glass","6 × 2 × 2" (15.2 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3262,https://www.moma.org/media/W1siZiIsIjIyOTI0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5758823a9b12138b,"MoMA, Floor 5, 501"
3266,"Bud Vase",9682,"c. 1910","Painted glass","6 3/8 × 2 × 2" (16.2 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3266,https://www.moma.org/media/W1siZiIsIjIxMTAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a997c18f32ff43bc,"MoMA, Floor 5, 501"
3269,"Bud Vase",9682,"c. 1910","Painted glass","6 1/4 × 2 × 2" (15.9 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3269,https://www.moma.org/media/W1siZiIsIjIyOTI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cda7a4c52e6cdcf7,"MoMA, Floor 5, 501"
3271,"Bud Vase",9682,"c. 1910","Painted glass","6 × 2 × 2" (15.2 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3271,https://www.moma.org/media/W1siZiIsIjIxMTAzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c7be42c32d0fa12,"MoMA, Floor 5, 501"
3274,"Bud Vase",9682,"c. 1910","Blown painted glass","6 1/4 × 2 × 2" (15.9 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3274,https://www.moma.org/media/W1siZiIsIjIxMTA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a728659970e20fef,"MoMA, Floor 5, 501"
3277,"Bud Vase",9682,"c. 1910","Blown painted glass","6 1/4 × 1 3/4 × 1 3/4" (15.9 × 4.4 × 4.4 cm)",Design,"Architecture & Design",1977-06-01,https://www.moma.org/collection/works/3277,https://www.moma.org/media/W1siZiIsIjIxMTA0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=56c0cd5b3f0407f9,"MoMA, Floor 5, 501"
