Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Interior perspective sketch","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1963,"Charcoal on tracing paper","18 x 23" (45.7 x 58.4 cm)","Gift of the architect",391.1967,Architecture,"Architecture & Design",1967-04-11,yes,498,https://www.moma.org/collection/works/498,https://www.moma.org/media/W1siZiIsIjUxOTcxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e3a51ead0269fbd,NULL,NULL,NULL,NULL,45.70,NULL,NULL,58.40,NULL,NULL
"Preliminary color scheme for floor and long walls of dance hall in Café Aubette, Strasbourg, France","Theo van Doesburg",6076,"(Dutch, 1883–1931)",(Dutch),(1883),(1931),(male),1927,"Ink, gouache, and metallic gouache on paper","21 x 14 3/4" (53.3 x 37.5 cm)","Gift of Lily Auchincloss, Celeste Bartos, and Marshall Cogan",391.1982,Architecture,"Architecture & Design",1982-10-27,yes,499,https://www.moma.org/collection/works/499,https://www.moma.org/media/W1siZiIsIjQwNDc2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=471f3853b6913f80,NULL,NULL,NULL,NULL,53.30,NULL,NULL,37.50,NULL,NULL
"La Place du Nombre d'Or, Antigone, Montpellier, France, Aerial perspective","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),"c. 1978-84","Ink and felt-tipped pen on tracing paper","16 5/8 x 21 7/8" (42.2 x 55.6 cm)","Gift of the architect",391.1985,Architecture,"Architecture & Design",1985-11-18,yes,500,https://www.moma.org/collection/works/500,https://www.moma.org/media/W1siZiIsIjUyNDA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3fd3e312a6c60fd9,NULL,NULL,NULL,NULL,42.20,NULL,NULL,55.60,NULL,NULL
"House for Venice Biennale project, Venice, Italy (Collaborators on project)","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,Photomontage,"40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",391.1996,Architecture,"Architecture & Design",1996-09-25,yes,501,https://www.moma.org/collection/works/501,NULL,NULL,NULL,NULL,NULL,101.60,NULL,NULL,101.60,NULL,NULL
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site-plan and elevation sketches)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1963,"Charcoal on yellow tracing paper","17 3/4 x 24 1/2" (45.1 x 62.2 cm)","Gift of the architect",392.1964,Architecture,"Architecture & Design",1964-04-14,yes,502,https://www.moma.org/collection/works/502,https://www.moma.org/media/W1siZiIsIjUxODUxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=36451bf531861742,NULL,NULL,NULL,NULL,45.10,NULL,NULL,62.20,NULL,NULL
"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Ceiling sketch","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1965,"Charcoal and graphite on tracing paper","12 x 15 1/2" (30.5 x 39.4 cm)","Gift of the architect",392.1967,Architecture,"Architecture & Design",1967-04-11,yes,503,https://www.moma.org/collection/works/503,https://www.moma.org/media/W1siZiIsIjUxOTcxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5adbda82b1bd236f,NULL,NULL,NULL,NULL,30.50,NULL,NULL,39.40,NULL,NULL
"Staatsgalerie Stuttgart, Stuttgart, Germany, Elevation of gallery entrance","James Stirling",5668,"(British, born Scotland 1926–1992)",(British),(1926),(1992),(male),1978,"Graphite and color pencil on tracing paper","25 1/4 x 16 7/8" (64.1 x 42.9 cm)","Gift of the architect",392.1982,Architecture,"Architecture & Design",1982-10-27,yes,504,https://www.moma.org/collection/works/504,https://www.moma.org/media/W1siZiIsIjUyMTQ0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dfc955230dbbcbdb,NULL,NULL,NULL,NULL,64.10,NULL,NULL,42.90,NULL,NULL
"Les Eschelles du Baroque Apartment Building, Paris, France, Plan study","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),1979–1985,"Felt-tippped pen on tracing paper","16 3/4 x 18 3/8" (42.5 x 46.7 cm)","Gift of Ricardo Bofill Taller de Arquitectura",392.1985,Architecture,"Architecture & Design",1985-11-18,yes,505,https://www.moma.org/collection/works/505,https://www.moma.org/media/W1siZiIsIjUyNDA4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=185e50f6adb00c81,NULL,NULL,NULL,NULL,42.50,NULL,NULL,46.70,NULL,NULL
"House for Venice Biennale project, Venice, Italy (Aerial view of model)","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,"Photograph on board","40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",392.1996,Architecture,"Architecture & Design",1996-09-25,yes,506,https://www.moma.org/collection/works/506,NULL,NULL,NULL,NULL,NULL,101.60,NULL,NULL,101.60,NULL,NULL
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Plan sketch)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1963,"Charcoal on tracing paper","12 x 18" (30.5 x 45.7 cm)","Gift of the architect",393.1964,Architecture,"Architecture & Design",1964-04-14,yes,507,https://www.moma.org/collection/works/507,https://www.moma.org/media/W1siZiIsIjUxODUxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cdffd5ca5695649b,NULL,NULL,NULL,NULL,28.60,NULL,NULL,31.80,NULL,NULL
